Year,State,state_fips,State_dem_votes,State_rep_votes
2016,Alabama,01,729541.0,1318249.0
2016,Alaska,02,0.0,0.0
2016,Arizona,04,1144854.0,1235770.0
2016,Arkansas,05,380490.0,684868.0
2016,California,06,8510070.0,4370301.0
2016,Colorado,08,1338220.0,1201894.0
2016,Connecticut,09,899622.0,674797.0
2016,Delaware,10,235603.0,185127.0
2016,Florida,12,4501650.0,4615908.0
2016,Georgia,13,1877946.0,2089086.0
2016,Hawaii,15,266904.0,128847.0
2016,Idaho,16,189764.0,409055.0
2016,Illinois,17,3083570.0,2141200.0
2016,Indiana,18,1039118.0,1557280.0
2016,Iowa,19,652354.0,795231.0
2016,Kansas,20,414785.0,656007.0
2016,Kentucky,21,628848.0,1202965.0
2016,Louisiana,22,779534.0,1172786.0
2016,Maine,23,354872.0,334837.0
2016,Maryland,24,1306176.0,863197.0
2016,Massachusetts,25,1969846.0,1085217.0
2016,Michigan,26,2263634.0,2277242.0
2016,Minnesota,27,1368462.0,1323874.0
2016,Mississippi,28,484429.0,699776.0
2016,Missouri,29,1069320.0,1590290.0
2016,Montana,30,177709.0,279240.0
2016,Nebraska,31,283320.0,494879.0
2016,Nevada,32,539258.0,512056.0
2016,New Hampshire,33,348521.0,345785.0
2016,New Jersey,34,2145138.0,1600395.0
2016,New Mexico,35,345847.0,293339.0
2016,New York,36,4166879.0,2647201.0
2016,North Carolina,37,2189338.0,2362685.0
2016,North Dakota,38,93758.0,216794.0
2016,Ohio,39,2394104.0,2840805.0
2016,Oklahoma,40,420371.0,949132.0
2016,Oregon,41,999846.0,781475.0
2016,Pennsylvania,42,1229931.0,696958.0
2016,Rhode Island,44,251867.0,180488.0
2016,South Carolina,45,845410.0,1150513.0
2016,South Dakota,46,114938.0,227460.0
2016,Tennessee,47,821064.0,1404690.0
2016,Texas,48,3864674.0,4673685.0
2016,Utah,49,308912.0,513845.0
2016,Vermont,50,178573.0,95369.0
2016,Virginia,51,1354088.0,1233591.0
2016,Washington,53,1735525.0,1219574.0
2016,West Virginia,54,188573.0,488826.0
2016,Wisconsin,55,1378923.0,1402729.0
2016,Wyoming,56,55973.0,174419.0
2020,Alabama,01,845360.0,1416394.0
2020,Alaska,02,0.0,0.0
2020,Arizona,04,1682541.0,1671633.0
2020,Arkansas,05,423927.0,760642.0
2020,California,06,10982077.0,5953237.0
2020,Colorado,08,1804345.0,1364600.0
2020,Connecticut,09,1083098.0,716982.0
2020,Delaware,10,296268.0,200603.0
2020,Florida,12,5285127.0,5655110.0
2020,Georgia,13,2476695.0,2462420.0
2020,Hawaii,15,366152.0,196864.0
2020,Idaho,16,287020.0,554117.0
2020,Illinois,17,3145428.0,2202791.0
2020,Indiana,18,1215094.0,1689610.0
2020,Iowa,19,759061.0,897672.0
2020,Kansas,20,558666.0,758097.0
2020,Kentucky,21,772469.0,1326640.0
2020,Louisiana,22,849926.0,1240270.0
2020,Maine,23,430472.0,359898.0
2020,Maryland,24,1573250.0,890231.0
2020,Massachusetts,25,2387407.0,1170158.0
2020,Michigan,26,2805658.0,2649226.0
2020,Minnesota,27,1717067.0,1484055.0
2020,Mississippi,28,511130.0,710298.0
2020,Missouri,29,1252077.0,1714901.0
2020,Montana,30,244786.0,343602.0
2020,Nebraska,31,374581.0,556844.0
2020,Nevada,32,703484.0,669888.0
2020,New Hampshire,33,424916.0,365649.0
2020,New Jersey,34,2608315.0,1883254.0
2020,New Mexico,35,501608.0,401888.0
2020,New York,36,5248591.0,3248554.0
2020,North Carolina,37,2684279.0,2758760.0
2020,North Dakota,38,114375.0,233950.0
2020,Ohio,39,2684820.0,3158083.0
2020,Oklahoma,40,503886.0,1020276.0
2020,Oregon,41,1340378.0,958443.0
2020,Pennsylvania,42,3459908.0,3378247.0
2020,Rhode Island,44,306209.0,199836.0
2020,South Carolina,45,1081240.0,1379560.0
2020,South Dakota,46,147642.0,260746.0
2020,Tennessee,47,1068268.0,1705306.0
2020,Texas,48,5259321.0,5886440.0
2020,Utah,49,560276.0,865134.0
2020,Vermont,50,242820.0,112704.0
2020,Virginia,51,2409153.0,1955598.0
2020,Washington,53,2369603.0,1584640.0
2020,West Virginia,54,235984.0,545382.0
2020,Wisconsin,55,1630662.0,1610052.0
2020,Wyoming,56,73491.0,193559.0
